,apple,positive,126415614616154112
544,apple,negative,125271422431014914
545,apple,negative,125269239207706624
546,apple,negative,125269161327865856
547,apple,negative,125268117680160768
548,apple,negative,125267178336419840
549,apple,negative,125265721281351680
550,apple,negative,125261285083447296
551,apple,negative,125247130762883072
552,apple,negative,125245780192792576
553,apple,negative,125245246136258561
554,apple,negative,125245104859529216
555,apple,negative,125236708403970048
556,apple,negative,125236166151774208
557,apple,negative,125232266849947648
558,apple,negative,125230743990444032
559,apple,negative,125230107580317696
560,apple,negative,125227837438435328
561,apple,negative,125224588253741056
562,apple,negative,125223685194915840
563,apple,negative,125212404299735040
564,apple,negative,125204228967903232
565,apple,negative,125202037293064192
566,apple,negative,125129328446017536
567,apple,neutral,126417484017451009
568,apple,neutral,126415742177513472
569,apple,neutral,126415618625912832
570,apple,neutral,126414657836687362
571,apple,neutral,126410146703351808
572,apple,neutral,126409984836763648
573,apple,neutral,126407959495442432
574,apple,neutral,126407672521162753
575,apple,neutral,126407511531192320
576,apple,neutral,126405911697817600
577,apple,neutral,126405821482532864
578,apple,neutral,126405160934178816
579,apple,neutral,126403530838913024
580,apple,neutral,126401882766839811
581,apple,neutral,126400491067416576
582,apple,neutral,126394795802370049
583,apple,neutral,126393452324855808
584,apple,neutral,126389413054910464
585,apple,neutral,126387460463788032
586,apple,neutral,126386085164101634
587,apple,neutral,126384526925639681
588,apple,neutral,126383125059211265
589,apple,neutral,126382776072146944
590,apple,neutral,126381578975842304
591,apple,neutral,126380323733909504
592,apple,neutral,126379730827083776
593,apple,neutral,126377120023842816
594,apple,neutral,126375024595705856
595,apple,neutral,126374630377275392
596,apple,neutral,126370776013213697
597,apple,neutral,126368680459251712
598,apple,neutral,126368285259350017
599,apple,neutral,126368127524159488
600,apple,neutral,126364189097865216
601,apple,neutral,126362867778859008
602,apple,neutral,126360821419884544
603,apple,neutral,126360182308618240
604,apple,neutral,126358012343492608
605,apple,neutral,126357527196741632
606,apple,neutral,126353359962775552
607,apple,neutral,126351669029126144
608,apple,neutral,126348857071239168
609,apple,neutral,126347890196103168
610,apple,neutral,126346633721032705
611,apple,neutral,126346584068861952
612,apple,neutral,126343124174901248
613,apple,neutral,126339328434651136
614,apple,neutral,126336867477094400
615,apple,neutral,126336687382081536
616,apple,neutral,126331354718801921
617,apple,neutral,126330974270271488
618,apple,neutral,126330155441467392
619,apple,neutral,126329388320043008
620,apple,neutral,126329109759524865
621,apple,neutral,126328424624160768
622,apple,neutral,126326886354784256
623,apple,neutral,126325069281624064
624,apple,neutral,126324621279641601
625,apple,neutral,126324256236765185
626,apple,neutral,126323574989520896
627,apple,neutral,126323533696614402
628,apple,neutral,126321197062426624
629,apple,neutral,126320247379730432
630,apple,neutral,126320076063379456
631,apple,neutral,126318553031917569
632,apple,neutral,126317201962700800
633,apple,neutral,126316594971422720
634,apple,neutral,126316179429134336
635,apple,neutral,126315088641658881
636,apple,neutral,126314701721309184
637,apple,neutral,126312423132102657
638,apple,neutral,126311681126187008
639,apple,neutral,126311223343058946
640,apple,neutral,126309939961536513
641,apple,neutral,126308556294205441
642,apple,neutral,126307117274644480
643,apple,neutral,126302918797312000
644,apple,neutral,126302719882444801
645,apple,neutral,126301989486342145
646,apple,neutral,126301301511426049
647,apple,neutral,126300596633481216
648,apple,neutral,126300304600866816
649,apple,neutral,126298592364331008
650,apple,neutral,126294550535872512
651,apple,neutral,126294304628019201
652,apple,neutral,126293879166205952
653,apple,neutral,126293725155569664
654,apple,neutral,126292279009882113
655,apple,neutral,126292233963053056
656,apple,neutral,126292109727768576
657,apple,neutral,126291860305100801
658,apple,neutral,126290154737504256
659,apple,neutral,126289716097196032
660,apple,neutral,126287512296632320
661,apple,neutral,126283761754185728
662,apple,neutral,126283639959990274
663,apple,neutral,126283441657495552
664,apple,neutral,126283440457912320
665,apple,neutral,126283024278110208
666,apple,neutral,126281432644595713
667,apple,neutral,126280507729260544
668,apple,neutral,126279672433614848
669,apple,neutral,126277810431074304
670,apple,neutral,126272713332506624
671,apple,neutral,126267746739699713
672,apple,neutral,126257394622808064
673,apple,neutral,126243528832593920
674,apple,neutral,126232037492404224
675,apple,neutral,126229089651654656
676,apple,neutral,126225922159427584
677,apple,neutral,126219340214304768
678,apple,neutral,126218596786511873
679,apple,neutral,126217194173501441
680,apple,neutral,126213965817708544
681,apple,neutral,126211975595311104
682,apple,neutral,126209902241787904
683,apple,neutral,126205800359280640
684,apple,neutral,126201991125929984
685,apple,neutral,126197405015220225
686,apple,neutral,126192452297170945
687,apple,neutral,126186955296878592
688,apple,neutral,126186795808456704
689,apple,neutral,126185114173583360
690,apple,neutral,126177221571395584
691,apple,neutral,126171911523794944
692,apple,neutral,126165547154018304
693,apple,neutral,126163403063570432
694,apple,neutral,126157019072835584
695,apple,neutral,126149567036137473
696,apple,neutral,126148184358653954
697,apple,neutral,126147867478982656
698,apple,neutral,126146495396319232
699,apple,neutral,126141631291326464
700,apple,neutral,126141628372090880
701,apple,neutral,126141580682854400
702,apple,neutral,126141157146238976
703,apple,neutral,126134865887363072
704,apple,neutral,126130171404230656
705,apple,neutral,126125830094061568
706,apple,neutral,126125799744094208
707,apple,neutral,126125182405447680
708,apple,neutral,126124917992341504
709,apple,neutral,126122372775415808
710,apple,neutral,126118389591711744
711,apple,neutral,126113944891949056
712,apple,neutral,126110863550717952
713,apple,neutral,126110770864979968
714,apple,neutral,126110374549405696
715,apple,neutral,126109969912311810
716,apple,neutral,126107127231152129
717,apple,neutral,126106914684796928
718,apple,neutral,126105236229193728
719,apple,neutral,126105175294357505
720,apple,neutral,126104490511319041
721,apple,neutral,126104322999197696
722,apple,neutral,126104244402126848
723,apple,neutral,126102213956337664
724,apple,neutral,126102037057388544
725,apple,neutral,126098699196698624
726,apple,neutral,126095965391298560
727,apple,neutral,126094392183357443
728,apple,neutral,126094029015355392
729,apple,neutral,126094027140513792
730,apple,neutral,126091878469869568
731,apple,neutral,126089815136538624
732,apple,neutral,126089347639427072
733,apple,neutral,126087892580827137
734,apple,neutral,126086553415057408
735,apple,neutral,126082898783780864
736,apple,neutral,126081812236738560
737,apple,neutral,126079649959772160
738,apple,neutral,126078565346312192
739,apple,neutral,126073142107045888
740,apple,neutral,126072051118260225
741,apple,neutral,126071173640499200
742,apple,neutral,126068964685135872
743,apple,neutral,126066994008162305
744,apple,neutral,126066452787773443
745,apple,neutral,126065983138955265
746,apple,neutral,126065529684369408
747,apple,neutral,126061182720278528
748,apple,neutral,126057389333020672
749,apple,neutral,126056940060155904
750,apple,neutral,126055880394420224
751,apple,neutral,126054998080622593
752,apple,neutral,126054725727698944
753,apple,neutral,126054145617694720
754,apple,neutral,126052649475915776
755,apple,neutral,126051375422504961
756,apple,neutral,126049560878526464
757,apple,neutral,126044185815040000
758,apple,neutral,126044055644807169
759,apple,neutral,126043954641780736
760,apple,neutral,126042506717704192
761,apple,neutral,126041773356232704
762,apple,neutral,126041570876203009
763,apple,neutral,126040050441011200
764,apple,neutral,126039521853845504
765,apple,neutral,126039090578735104
766,apple,neutral,126031463647944704
767,apple,neutral,126030091892432896
768,apple,neutral,126029114850295809
769,apple,neutral,126022527578406912
770,apple,neutral,126021436149211136
771,apple,neutral,126019432194650113
772,apple,neutral,126018538531061760
773,apple,neutral,126017685246050304
774,apple,neutral,126017643747606528
775,apple,neutral,126016494701256704
776,apple,neutral,126016405085757440
777,apple,neutral,126014643826208768
778,apple,neutral,126014277814468608
779,apple,neutral,126014214467895297
780,apple,neutral,126014102379302912
781,apple,neutral,126013626426466304
782,apple,neutral,126012833128390656
783,apple,neutral,126012515019784192
784,apple,neutral,126012034545496065
785,apple,neutral,126012004312956928
786,apple,neutral,126011120694726656
787,apple,neutral,126010471202566144
788,apple,neutral,126009386022879232
789,apple,neutral,126008776322064384
790,apple,neutral,126007705600135168
791,apple,neutral,126006669535744000
792,apple,neutral,126006572420833282
793,apple,neutral,126006349959135232
794,apple,neutral,126004552557273088
795,apple,neutral,126003746135224320
796,apple,neutral,126003567315255296
797,apple,neutral,126001989309054976
798,apple,neutral,126001758853009409
799,apple,neutral,126000843798491136
800,apple,neutral,125999022908510209
801,apple,neutral,125998732046123009
802,apple,neutral,125996412252078080
803,apple,neutral,125996330500890624
804,apple,neutral,125994997609803776
805,apple,neutral,125994518989385729
806,apple,neutral,125993702782025729
807,apple,neutral,125993105722839040
808,apple,neutral,125992838910586880
809,apple,neutral,125992594395250688
810,apple,neutral,125991449455104000
811,apple,neutral,125990236743405568
812,apple,neutral,125990217801940992
813,apple,neutral,125989605634879488
814,apple,neutral,125989196132388864
815,apple,neutral,125989009091592192
816,apple,neutral,125988775548559360
817,apple,neutral,125988651426512899
818,apple,neutral,125984350989860864
819,apple,neutral,125983179877253120
820,apple,neutral,125981074114359297
821,apple,neutral,125980918220464128
822,apple,neutral,125980676653723648
823,apple,neutral,125980615664336896
824,apple,neutral,125979228452818944
825,apple,neutral,125978290367381504
826,apple,neutral,125975779447291904
827,apple,neutral,125974955983769603
828,apple,neutral,125974497546338304
829,apple,neutral,125972882240188416
830,apple,neutral,125971256335024128
831,apple,neutral,125969677997453312
832,apple,neutral,125969128514260992
833,apple,neutral,125967560171720704
834,apple,neutral,125967126912712705
835,apple,neutral,125965569659895808
836,apple,neutral,125963773176582144
837,apple,neutral,125962667541270528
838,apple,neutral,125962608519036928
839,apple,neutral,125961033348153345
840,apple,neutral,125960438981734400
841,apple,neutral,125958702455988225
842,apple,neutral,125958525708021760
843,apple,neutral,125958117086347264
844,apple,neutral,125957972466737152
845,apple,neutral,125957965109932032
846,apple,neutral,125951303770845185
847,apple,neutral,125950941349421057
848,apple,neutral,125950505389273090
849,apple,neutral,125950026181648385
850,apple,neutral,125949784677810176
851,apple,neutral,125948450620702720
852,apple,neutral,125947460592996352
853,apple,neutral,125944856504827904
854,apple,neutral,125944293671182336
855,apple,neutral,125943115449253888
856,apple,neutral,125943078837161984
857,apple,neutral,125943020767019008
858,apple,neutral,125940398915977217
859,apple,neutral,125940300987371521
860,apple,neutral,125939862078619648
861,apple,neutral,125939833775460352
862,apple,neutral,125938918540574720
863,apple,neutral,125938325151432706
864,apple,neutral,125936985796919296
865,apple,neutral,125936323273048065
866,apple,neutral,125935636300570624
867,apple,neutral,125935627056324609
868,apple,neutral,125935503752171520
869,apple,neutral,125935314878476289
870,apple,neutral,125933630613766144
871,apple,neutral,125932876721168384
872,apple,neutral,125930342891790337
873,apple,neutral,125930143066759169
874,apple,neutral,125930002607906816
875,apple,neutral,125927540249473024
876,apple,neutral,125927536847880192
877,apple,neutral,125927533614084097
878,apple,neutral,125927530761953281
879,apple,neutral,125927399010467840
880,apple,neutral,125927174514540544
881,apple,neutral,125927032185044992
882,apple,neutral,125926624930693121
883,apple,neutral,125922989844856833
884,apple,neutral,125922500839342080
885,apple,neutral,125922174648324096
886,apple,neutral,125921393350160384
887,apple,neutral,125920729194704896
888,apple,neutral,125920725595983874
889,apple,neutral,125920721200361472
890,apple,neutral,125920717966544896
891,apple,neutral,125920716297211904
892,apple,neutral,125919221845721090
893,apple,neutral,125918906215968771
894,apple,neutral,125918450920062977
895,apple,neutral,125918447979872258
896,apple,neutral,125918444762828800
897,apple,neutral,125918441013133312
898,apple,neutral,125917264267579393
899,apple,neutral,125917174618525696
900,apple,neutral,125917170571026432
901,apple,neutral,125917164535418880
902,apple,neutral,125917160982855680
903,apple,neutral,125915210337890304
904,apple,neutral,125908946702696448
905,apple,neutral,125907633466130432
906,apple,neutral,125892140940267522
907,apple,neutral,125891898517889024
